2024-11-28 00:21:56 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-11-28 00:21:56 [main] INFO  com.wealth.demo.UserServiceTests - Starting UserServiceTests using Java 21.0.5 with PID 26836 (started by jkl94 in C:\JavaProjects\forwar-to-wealth\forwar-to-wealth)
2024-11-28 00:21:56 [main] INFO  com.wealth.demo.UserServiceTests - No active profile set, falling back to 1 default profile: "default"
2024-11-28 00:21:57 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-11-28 00:21:57 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 3 JPA repository interfaces.
2024-11-28 00:21:57 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-11-28 00:21:57 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2024-11-28 00:21:57 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-11-28 00:21:58 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-11-28 00:21:58 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-11-28 00:21:58 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5c839677
2024-11-28 00:21:58 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-11-28 00:21:59 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-11-28 00:21:59 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-11-28 00:21:59 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-11-28 00:21:59 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2024-11-28 00:22:00 [main] INFO  com.wealth.demo.UserServiceTests - Started UserServiceTests in 3.871 seconds (process running for 4.681)
2024-11-28 00:22:01 [main] INFO  com.wealth.demo.service.UserService - 正在查詢用戶 ID: 1
2024-11-28 00:22:01 [main] WARN  com.wealth.demo.service.UserService - 未找到用戶 ID: 1
2024-11-28 00:22:01 [main] INFO  com.wealth.demo.service.UserService - 正在查詢用戶 ID: 1
2024-11-28 00:22:01 [main] WARN  com.wealth.demo.service.UserService - 未找到用戶 ID: 1
2024-11-28 00:22:01 [main] INFO  com.wealth.demo.service.UserService - 正在創建新用戶: test_user
2024-11-28 00:22:01 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Error: 1048, SQLState: 23000
2024-11-28 00:22:01 [main] ERROR o.h.e.jdbc.spi.SqlExceptionHelper - Column 'email' cannot be null
2024-11-28 00:22:01 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-11-28 00:22:01 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-11-28 00:22:01 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-11-28 00:34:15 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-11-28 00:34:15 [main] INFO  com.wealth.demo.UserServiceTests - Starting UserServiceTests using Java 21.0.5 with PID 26568 (started by jkl94 in C:\JavaProjects\forwar-to-wealth\forwar-to-wealth)
2024-11-28 00:34:15 [main] INFO  com.wealth.demo.UserServiceTests - No active profile set, falling back to 1 default profile: "default"
2024-11-28 00:34:16 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-11-28 00:34:16 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 45 ms. Found 3 JPA repository interfaces.
2024-11-28 00:34:16 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-11-28 00:34:16 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2024-11-28 00:34:16 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-11-28 00:34:16 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-11-28 00:34:17 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-11-28 00:34:17 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2905b568
2024-11-28 00:34:17 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-11-28 00:34:17 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-11-28 00:34:17 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
